"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-06-14 07:08:23","2026-06-15 07:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-06-14 07:08:16","2026-06-15 07:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-06-03 05:08:13","2026-06-03 07:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-06-01 05:08:19","2026-06-01 07:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-26 17:03:12","2026-05-27 17:02:48","RESOLVED","BGS","BGS disapeared from EIDA central routing service","23h 59m 36s","No","Actions (8)","format: json, routing: central"
"Warning","2026-05-26 15:08:19","2026-05-27 07:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","15h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-25 17:03:10","2026-05-26 17:03:05","RESOLVED","NIEP","NIEP disapeared from EIDA central routing service","23h 59m 55s","No","Actions (6)","format: json, routing: central"
"Warning","2026-05-25 07:08:17","2026-05-26 07:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-22 07:08:22","2026-05-23 07:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-22 07:08:18","2026-05-23 07:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","23h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-22 07:08:15","2026-05-23 07:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-19 05:08:25","2026-05-19 07:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","1h 54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-05-15 17:08:16","2026-05-15 19:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-15 17:08:15","2026-05-15 19:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-15 17:08:14","2026-05-15 19:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-15 17:08:13","2026-05-15 19:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-15 17:08:12","2026-05-15 19:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-05-04 17:08:25","2026-05-04 19:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","1h 54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-05-04 17:08:24","2026-05-04 19:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","1h 54m 57s","No","Actions (10)","format: xml, routing: central"
"Warning","2026-05-04 17:08:23","2026-05-04 19:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-04 17:08:22","2026-05-04 19:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
