"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"High","2026-03-25 13:45:13","2026-03-25 15:00:28","RESOLVED","GEOFON","Dataselect application.wadl not found, return code 404","1h 15m 15s","No","Actions (6)","webservice: dataselect"
"Average","2026-03-25 13:45:12","2026-03-25 15:30:12","RESOLVED","GEOFON","Availability application.wadl not found, return code 404","1h 45m","No","Actions (6)","webservice: availability"
"High","2026-03-23 18:47:11","2026-03-23 19:02:58","RESOLVED","NIEP","Station short request failed, return code 502","15m 47s","No","Actions (6)","webservice: station"
"Warning","2026-03-15 15:24:39","2026-03-16 15:24:39","RESOLVED","ETH","ETH: CORS not present for webservice station","1d","No","Actions (10)","cors, webservice: station"
"Average","2026-03-08 13:30:38","2026-03-08 13:45:35","RESOLVED","KOERI","WFCatalog short request failed, return code 503","14m 57s","No","Actions (8)","webservice: wfcatalog"
"High","2026-02-18 14:30:13","2026-02-18 14:45:14","RESOLVED","GEOFON","Dataselect short request failed, return code 500","15m 1s","No","Actions (6)","webservice: dataselect"
"High","2026-02-11 14:32:25","2026-02-11 15:32:25","RESOLVED","ETH","Dataselect short request failed, return code 204","1h","No","Actions (8)","webservice: dataselect"
"High","2026-02-11 14:32:03","2026-02-11 15:32:21","RESOLVED","ICGC","Dataselect short request failed, return code 204","1h 18s","No","Actions (4)","webservice: dataselect"
"High","2026-02-11 14:31:57","2026-02-11 15:32:18","RESOLVED","INGV","Dataselect short request failed, return code 204","1h 21s","No","Actions (6)","webservice: dataselect"
"High","2026-02-11 14:31:55","2026-02-11 15:32:16","RESOLVED","BGR","Dataselect short request failed, return code 204","1h 21s","No","Actions (6)","webservice: dataselect"
"High","2026-02-11 14:31:51","2026-02-11 15:32:12","RESOLVED","NIEP","Dataselect short request failed, return code 204","1h 21s","No","Actions (4)","webservice: dataselect"
"High","2026-02-11 14:30:35","2026-02-11 15:30:44","RESOLVED","KOERI","Dataselect short request failed, return code 204","1h 9s","No","Actions (6)","webservice: dataselect"
"High","2026-02-06 09:47:03","2026-02-10 11:32:21","RESOLVED","ICGC","Dataselect short request failed, return code 204","4d 1h 45m","No","Actions (4)","webservice: dataselect"
"Average","2026-01-29 10:31:58","2026-01-29 14:02:04","RESOLVED","ODC","WFCatalog short request failed, return code 204","3h 30m 6s","No","Actions (4)","webservice: wfcatalog"
"Average","2026-01-23 15:16:28","2026-01-23 15:46:28","RESOLVED","LMU","WFCatalog short request failed, return code 204","30m","No","Actions (6)","webservice: wfcatalog"
"Average","2026-01-23 10:30:46","2026-01-23 13:16:28","RESOLVED","LMU","WFCatalog short request failed, return code 204","2h 45m 42s","No","Actions (6)","webservice: wfcatalog"
"High","2026-01-20 07:47:54","2026-01-20 08:02:40","RESOLVED","EPOSFR","Dataselect short request failed, return code 503","14m 46s","No","Actions (4)","webservice: dataselect"
"High","2026-01-05 04:32:55","2026-01-05 04:47:47","RESOLVED","BGR","Station application.wadl not found, return code 502","14m 52s","No","Actions (4)","webservice: station"
"Average","2025-12-09 23:17:11","2025-12-09 23:32:10","RESOLVED","BGR","WFCatalog short request failed, return code 204","14m 59s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 21:17:10","2025-12-09 22:17:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","1h 2s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 20:17:22","2025-12-09 21:02:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","44m 49s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 19:32:12","2025-12-09 20:02:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","29m 59s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 18:47:10","2025-12-09 19:17:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m 1s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 18:17:10","2025-12-09 18:32:10","RESOLVED","BGR","WFCatalog short request failed, return code 204","15m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 17:02:11","2025-12-09 17:32:10","RESOLVED","BGR","WFCatalog short request failed, return code 204","29m 59s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 15:47:10","2025-12-09 16:47:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","1h 2s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 14:32:11","2025-12-09 15:17:28","RESOLVED","BGR","WFCatalog short request failed, return code 204","45m 17s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 12:32:11","2025-12-09 13:32:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","1h","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 11:32:12","2025-12-09 12:02:15","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m 3s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 10:32:11","2025-12-09 11:17:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","45m 1s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 09:32:11","2025-12-09 10:17:30","RESOLVED","BGR","WFCatalog short request failed, return code 204","45m 19s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 08:17:11","2025-12-09 08:47:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 07:47:26","2025-12-09 08:02:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","14m 45s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 07:02:11","2025-12-09 07:17:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","15m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 03:47:11","2025-12-09 05:02:41","RESOLVED","BGR","WFCatalog short request failed, return code 204","1h 15m 30s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 03:02:12","2025-12-09 03:17:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","15m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 02:17:12","2025-12-09 02:32:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","15m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 01:32:11","2025-12-09 02:02:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-09 00:47:12","2025-12-09 01:17:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 23:47:11","2025-12-09 00:17:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m 1s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 23:02:11","2025-12-08 23:32:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 22:17:12","2025-12-08 22:47:11","RESOLVED","BGR","WFCatalog short request failed, return code 204","29m 59s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 19:47:11","2025-12-08 20:02:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","15m 1s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 18:32:11","2025-12-08 19:02:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m 1s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 17:32:26","2025-12-08 18:17:12","RESOLVED","BGR","WFCatalog short request failed, return code 204","44m 46s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 16:32:26","2025-12-08 17:02:27","RESOLVED","BGR","WFCatalog short request failed, return code 204","30m 1s","No","Actions (4)","webservice: wfcatalog"
"Average","2025-12-08 13:47:40","2025-12-08 16:02:28","RESOLVED","BGR","WFCatalog short request failed, return code 204","2h 14m 48s","No","Actions (4)","webservice: wfcatalog"
"High","2025-12-02 12:32:18","2025-12-02 13:02:14","RESOLVED","INGV","Station short request failed, return code 204","29m 56s","No","Actions (4)","webservice: station"
"High","2025-11-06 19:17:12","2025-11-06 19:32:22","RESOLVED","NIEP","Station short request failed, return code 502","15m 10s","No","Actions (2)","webservice: station"
"High","2025-11-05 14:32:07","2025-11-05 14:47:08","RESOLVED","NIEP","Dataselect short request failed, return code 502","15m 1s","No","Actions (2)","webservice: dataselect"
"High","2025-10-29 01:32:10","2025-10-29 01:47:17","RESOLVED","NIEP","Station short request failed, return code 502","15m 7s","No","Actions (2)","webservice: station"
"High","2025-10-28 20:02:11","2025-10-28 20:17:08","RESOLVED","NIEP","Station short request failed, return code 502","14m 57s","No","Actions (2)","webservice: station"
"High","2025-10-28 12:32:15","2025-10-28 12:47:17","RESOLVED","NIEP","Station application.wadl not found, return code 502","15m 2s","No","Actions (2)","webservice: station"
